year,Aruba,Africa Eastern and Southern,Afghanistan,Africa Western and Central,Angola,Albania,Arab World,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Cayman Islands,Cyprus,Czechia,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,High income
2009,0.4927,561.5363,6.0828,147.8734,21.0889,4.2746,1541.7715,165.3369,164.9146,4.5018,0.0001,0.2662,410.2594,68.0563,27.9822,0.2228,107.4038,4.682,1.8454,55.1151,46.5342,27.6556,1.1323,21.6577,61.6233,0.1959,0.2446,13.6481,385.4613,0.7986,8.0208,0.7881,4.1227,0.1961,541.8042,728.5057,44.6539,68.2181,8349.8051,6.4112,7.7113,2.8093,4.9158,63.7613,0.133,0.7101,7.3266,6.0297,26.9615,0.2269,8.2866,119.7074,768.5531,0.7303,0.075,48.4431,19.8346,116.0855,9518.6269,5915.6818,11779.3949,1154.3184,6697.3944,34.6745,210.3349,2595.2168,0.4809,303.7758,16.8114,6.9058,3305.5368,884.8771,57.0755,1.0629,370.3759,0.002,0,5.4483,483.3614,6.4695,10.0472,0.4719,2.1932,0.4351,0.31,5.4778,96.2141,0.1061,0.5588,12.1971,0.0003,1.629,14662.354
2010,0.4822,576.5684,7.7889,166.4575,22.7399,4.5569,1634.2053,171.9537,177.4042,4.2988,0.0001,0.2785,415.2731,73.7958,26.6358,0.3212,114.977,5.0792,1.9695,60.7552,49.5077,28.8353,1.2829,22.2152,66.1177,0.2325,0.3089,14.7785,439.7694,0.8203,7.3793,0.8958,3.374,0.2008,561.6033,758.0058,46.335,72.3154,9134.0724,7.3148,7.8242,2.9444,5.2909,65.7738,0.1566,0.7535,7.2454,6.698,28.207,0.2466,7.9134,120.9891,815.3784,0.8156,0.0773,48.5566,20.9207,118.6147,10389.2031,6206.7784,12763.1868,1231.0684,6988.9209,37.3741,211.7459,2676.8165,0.5167,291.2431,21.558,6.8765,3413.7866,956.5829,65.8425,1.6959,377.7598,0.002,0,5.9573,500.6285,6.2924,11.2481,0.4751,2.5214,0.4427,0.3153,5.7159,89.0919,0.1187,0.6507,11.7768,0.0003,1.7612,15336.4328
2011,0.2902,570.2894,11.4087,177.6335,23.65,4.9882,1678.8153,177.2645,184.8745,4.9037,0.0001,0.2122,412.8096,72.1947,29.4687,0.4189,104.5725,4.9588,2.2344,65.2915,54.7826,29.0035,0.8541,25.2656,62.9636,0.1491,0.1533,16.0796,463.5013,0.6793,7.8611,1.1001,4.0045,0.2194,575.8915,759.6902,42.2986,79.0676,9984.4725,7.0784,7.4251,3.3678,4.8506,70.794,0.1421,0.8799,7.7059,6.1221,27.7668,0.199,7.6557,118.1129,788.5477,0.6329,0.0595,43.4875,21.1204,124.795,11282.5626,6432.5958,13743.1542,1303.6792,7004.506,37.7473,219.3322,2584.8395,0.6166,293.1618,21.6736,7.9592,3317.8348,971.3379,58.2171,1.2448,364.3139,0.002,0,5.819,459.0174,7.5826,12.1317,0.4594,2.6763,0.4677,0.3213,5.954,86.1357,0.0919,0.6919,12.1462,0.0003,1.8334,15222.253
2012,0.3749,589.2651,9.7678,181.2535,24.7162,4.5329,1798.8966,185.0209,188.8658,5.6692,0.0001,0.2261,413.3193,69.0271,32.2806,0.4041,103.0863,4.7231,2.6129,69.8575,49.9151,30.2163,1.0169,23.3084,64.2663,0.1622,0.1776,17.0255,497.7231,0.6435,7.6223,1.0482,3.5123,0.224,567.2705,732.3501,43.609,81.3404,10297.905,9.0201,7.5067,3.0152,4.4786,71.0704,0.1474,0.7586,7.6448,6.9573,28.9339,0.1904,7.1208,114.0232,800.4648,0.8073,0.0543,38.5921,21.8778,140.2599,11627.7474,6770.1871,14131.4308,1297.3792,6941.643,37.9228,232.9413,2548.1588,0.6343,287.3971,20.5236,8.9868,3251.3879,1009.0714,52.3201,1.2044,366.1388,0.002,0,5.8891,481.19,8.2713,14.6402,0.4688,2.5439,0.4503,0.3247,5.5951,81.5462,0.095,0.5459,12.5817,0.0003,2.0026,15044.4827
2013,0.4123,612.7969,8.3,199.7577,28.5342,4.7693,1837.3419,194.9231,193.2397,5.4924,0.0001,0.2593,405.6523,69.6127,33.2113,0.4569,104.4225,4.9691,3.0762,72.0629,44.4509,32.1308,1.091,23.2108,64.4274,0.2045,0.1978,18.0829,523.208,0.7308,7.789,1.0996,5.5122,0.1507,575.2453,707.6707,44.6168,85.402,10792.1384,9.801,8.1741,4.1936,5.4382,80.9287,0.1768,0.7413,7.9452,7.0726,29.0939,0.2161,6.4395,109.5259,818.2784,0.8864,0.0599,40.3391,21.4767,145.7032,12129.5686,6829.0597,14640.4234,1291.0804,6787.6625,40.3491,228.7388,2490.6858,0.5935,260.5978,22.9144,10.4422,3168.3446,1021.7766,53.3272,1.3725,360.9924,0.002,0,6.0766,470.1718,9.1459,15.5631,0.5,2.2972,0.4518,0.3338,5.7233,73.8659,0.1225,0.5471,13.5353,0.0003,1.9774,15076.0756
2014,0.4407,635.6297,7.8257,208.9779,30.8873,5.0958,1901.2005,197.9033,190.0821,5.7603,0.0001,0.2795,396.2575,65.929,34.7241,0.4065,97.7245,5.4582,2.7593,76.6369,47.3148,33.3022,1.1362,20.792,63.9688,0.2035,0.2718,19.4449,546.1498,0.6679,8.1066,1.1223,7.1367,0.1621,580.4828,689.3852,40.9097,78.6954,10916.9228,10.4591,8.8645,5.386,5.2762,82.1711,0.155,0.7763,8.056,7.5163,26.9244,0.2315,6.8161,107.2328,779.2231,0.8859,0.0669,36.2043,21.6938,155.0108,12327.9234,7137.3436,14777.7674,1204.1553,6500.715,42.5426,233.093,2366.0204,0.5956,258.0155,21.9208,12.4046,3025.8963,981.07,49.4374,1.559,328.0879,0.002,0,6.2661,430.4962,9.8372,14.9977,0.5373,2.3791,0.4848,0.3422,5.7179,71.0042,0.1099,0.4891,14.5332,0.0002,2.0651,14884.624
2015,0.462,621.8665,8.3465,208.8912,33.0975,4.8635,1946.8165,206.6195,196.2522,5.6166,0.0001,0.2908,400.5424,67.3691,34.5224,0.4318,102.3791,5.8087,3.9046,85.4306,49.8542,33.4755,1.1202,20.8252,59.1668,0.246,0.2305,19.9348,517.5896,0.7203,7.3651,1.3047,7.0877,0.2315,577.1296,699.8398,40.233,84.3487,10776.9127,11.265,9.179,3.4909,5.7499,83.5227,0.1698,0.7841,7.77,7.7451,29.4706,0.2502,6.855,108.2847,785.3872,0.8097,0.0724,34.0736,23.8683,164.8621,12233.0959,7207.7757,14663.3222,1139.2953,6489.6837,42.2632,239.3925,2417.5308,0.5776,275.0786,19.991,13.5096,3086.2151,904.1184,45.971,1.6164,332.9749,0.002,0,6.4401,415.856,10.6455,15.7885,0.5872,2.8452,0.5043,0.3594,5.4069,69.4476,0.117,0.5261,16.9746,0.0002,2.0746,14857.3772
2016,0.4849,628.5365,7.5276,217.443,31.2858,4.5303,1970.4441,212.2197,194.1702,5.3743,0.0001,0.3147,408.5061,67.7825,34.4149,0.482,101.261,7.1455,3.8974,93.9764,47.1224,33.4618,1.2453,23.5017,59.0618,0.2594,0.3115,21.3426,482.4293,0.7736,7.8992,1.4193,6.7507,0.2492,575.8711,710.316,40.7897,88.8319,10805.0515,11.4035,9.6961,2.6899,5.5898,85.853,0.1984,0.8224,8.2435,8.6239,27.3713,0.2626,7.2207,109.8082,789.7138,0.7388,0.0777,35.7064,24.8649,160.9903,12296.0006,7336.1333,14747.4895,1182.8763,6496.6718,40.9719,250.0974,2415.8438,0.5971,266.5311,19.9798,16.0316,3094.7766,912.0218,48.8035,1.5918,335.7678,0.002,0,6.5,393.3439,11.0236,16.1935,0.6124,3.2029,0.5084,0.3751,5.3893,68.156,0.1274,0.5257,18.0397,0.0003,2.4572,14746.1161
2017,0.4666,637.9068,8.0661,218.2637,27.9421,5.3415,2000.1477,204.258,191.3792,5.6886,0.0001,0.277,410.8371,70.1063,34.2297,0.5362,99.7004,7.2415,4.4586,101.0249,49.2795,33.7559,1.3736,23.9871,60.221,0.2834,0.2852,21.7595,494.4986,0.6824,7.8714,1.5444,7.4431,0.2593,593.0442,737.2788,39.8069,89.7172,11037.1271,12.3298,9.8479,3.1292,5.5307,78.1782,0.2552,0.8695,8.3908,8.1409,26.4932,0.2804,7.3619,110.375,774.9482,0.6638,0.0692,33.5724,23.7791,166.5514,12623.2552,7634.7056,15074.9806,1223.5055,6576.8045,39.7641,262.0766,2420.4532,0.5861,281.6954,21.2227,15.8688,3118.7076,910.7166,46.073,1.7498,339.3458,0.002,0,5.6267,381.2854,11.169,16.9641,0.6498,3.2127,0.5123,0.3003,4.887,68.3789,0.1279,0.514,17.1524,0.0003,2.4688,14718.9265
2018,0.4659,645.8367,7.932,230.4901,26.2589,5.3056,1984.9822,187.0555,189.8389,5.9509,0.0001,0.2949,409.2067,67.1868,34.7619,0.7209,100.0981,8.2462,4.9703,105.485,46.2331,33.824,1.5426,24.0596,63.5591,0.2466,0.312,21.9396,470.7686,0.7391,8.0301,1.7949,8.2057,0.2692,613.6582,733.8325,38.5013,89.7848,11572.4164,12.3429,10.513,3.1027,6.3865,82.0012,0.2787,0.8751,8.4537,8.1575,26.848,0.2697,7.2127,109.3389,747.2145,0.7183,0.0749,33.6544,25.6208,174.8357,13289.577,7790.1967,15701.6692,1243.6094,6596.1952,41.3717,256.5749,2357.3944,0.655,275.1301,22.3588,17.4652,3049.511,940.6829,47.4348,1.8451,328.6302,0.002,0,5.2577,373.2205,11.1345,19.1324,0.6897,3.2467,0.5171,0.3021,4.6826,66.5823,0.1308,0.5193,18.7548,0.0003,2.5808,14821.0842
2019,0.5579,654.5401,7.2491,240.4359,27.5732,4.9535,2010.0404,197.6423,183.2869,6.4241,0.0001,0.3403,407.8604,68.5332,36.9813,0.7942,99.8825,8.0279,5.5183,108.0751,44.5731,36.8473,1.7719,22.5935,61.3745,0.2685,0.3584,21.9785,468.1262,0.8342,7.6033,1.9641,7.3371,0.2915,607.2496,696.2009,38.3792,95.2152,11850.5929,13.1903,10.2374,3.3545,7.202,82.7065,0.3185,0.9281,8.2067,9.4416,24.5782,0.3766,7.2155,103.3032,697.0085,0.7075,0.0841,30.2022,28.5246,181.6493,13693.6881,7822.8262,16047.7668,1210.4032,6472.577,40.8262,237.0639,2246.9277,0.6735,257.7259,14.7078,18.8294,2908.1569,931.3953,44.1406,1.9181,322.7523,0.002,0,5.4389,357.3326,11.9198,20.2014,0.7174,3.4462,0.5594,0.3202,4.5551,61.6191,0.1502,0.5238,19.6794,0.0004,2.7934,14545.0976
2020,0.4526,578.052,7.0541,235.9365,20.7109,4.5608,1918.1944,195.4909,170.1203,6.9138,0.0001,0.2759,392.5191,62.5998,35.404,0.8821,92.267,8.5747,5.5195,102.4575,39.4909,36.8445,1.4374,22.5309,58.1656,0.219,0.3155,18.5445,447.4235,0.6716,9.9037,1.7369,6.0885,0.3031,546.6751,651.7116,35.8868,87.4782,12022.433,13.0806,10.3805,3.4582,7.3686,80.8649,0.3344,0.9758,7.1803,9.1647,21.5997,0.3056,6.8014,94.3916,642.552,0.7348,0.0684,27.7967,26.9003,171.8931,13804.5789,7326.6375,16029.3684,1210.1674,6082.1472,35.7125,226.1884,2020.1248,0.6718,218.7442,11.4808,16.8774,2641.1878,817.1985,39.4649,1.9348,287.3243,0.0021,0,5.3096,319.0147,11.5463,22.149,0.6394,3.6011,0.5873,0.3355,4.469,52.3729,0.1219,0.5275,17.6422,0.0004,3.3298,13426.3511
2021,0.5006,606.3945,7.9308,249.1554,25.2628,5.0393,2005.5031,201.3251,190.662,7.5092,0.0001,0.3052,384.6772,66.1753,37.4346,0.8874,96.251,6.4578,5.9322,116.6813,45.7855,37.2756,1.5901,22.9648,58.6377,0.2456,0.3311,21.8107,505.9915,0.7572,9.7462,1.8703,6.5964,0.3084,561.6259,701.6091,37.5792,89.0743,12621.6147,14.5134,10.2313,3.5103,7.0188,87.9477,0.3403,0.9927,8.0185,9.4691,21.1483,0.3381,6.9042,99.1481,677.8039,0.7928,0.0755,29.3959,29.6662,179.7421,14418.2017,7833.4948,16665.5463,1279.4751,6496.1299,39.8896,249.7365,2165.034,0.7122,237.5869,12.3095,17.2771,2833.7549,832.932,39.4364,2.0281,319.4248,0.0021,0,5.1377,339.4953,12.1472,25.0095,0.6467,3.673,0.5975,0.3413,4.3582,54.1984,0.1348,0.5484,20.2432,0.0004,3.2698,14137.1313
2022,0.5027,588.4335,8.2599,251.4104,27.353,4.609,2053.4305,206.8995,193.4816,7.2893,0.0001,0.3065,374.8785,61.2237,39.4268,0.8396,89.7393,6.619,6.1439,124.0779,50.0681,36.2891,1.5968,22.7127,56.8266,0.2617,0.3324,22.7374,478.9143,0.7598,9.4485,1.9267,7.2827,0.3528,575.3213,688.8997,34.4133,88.845,12526.8263,14.7633,10.8265,3.892,7.7196,91.7605,0.3172,1.0371,8.09,9.4825,20.8476,0.3395,7.1853,99.4325,659.5018,0.7485,0.0758,28.1415,29.6442,186.6444,14379.0057,8100.7567,16495.532,1198.6666,6389.8899,42.2602,247.1607,2102.1807,0.6674,235.4712,12.5882,16.5391,2756.9063,801.6112,36.1537,2.1386,310.4579,0.0021,0,5.395,327.4607,12.6339,24.7887,0.675,3.8088,0.6241,0.3565,4.1612,54.9323,0.1353,0.5758,19.9773,0.0004,3.3222,14060.6136
2023,0.53,579.8655,8.7073,245.6408,28.2299,4.5918,2089.4414,205.9913,183.7784,7.7251,0.0001,0.3231,373.6164,58.8151,42.7662,0.8443,84.3061,6.4379,5.9993,124.7934,39.7926,37.4256,1.6837,21.9967,54.1757,0.2785,0.3505,23.8069,479.5042,0.7962,9.7161,1.9867,7.4247,0.3684,575.012,627.3074,34.2217,83.9992,13259.639,14.4125,10.7556,3.7995,7.2508,100.8627,0.3177,1.0063,8.5733,9.7486,22.067,0.358,7.1833,90.5128,582.9506,0.7492,0.0799,26.7729,31.3508,180.3576,15206.0032,8389.5306,17247.0863,1200.8516,6165.4863,45.3282,249.3319,1918.0922,0.6685,217.2617,11.4364,16.7077,2512.068,812.4632,32.2689,2.2105,282.4275,0.0021,0,4.9269,302.1033,12.8636,24.1638,0.6886,3.7154,0.6058,0.346,3.7768,51.674,0.1427,0.5822,21.3494,0.0004,3.3042,13682.1238
2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
